video_id,path,category,ad_folder,video_label,bio_label,bio_start,bio_end,duration_sec
5d48bd2e0f374462e60e63d068a0ec62,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A05/N/01.mp4,Car_and_Technology,N,0,5,30923,30967,10.923833333333333
5bb4cb730b9cc2b481569bf1193a4a9d,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A09/A/01.mp4,Car_and_Technology,A,1,2,140337,140373,8.946977777777777
d47e3baac609588366f5797d8f698c42,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A02/J/01.mp4,Car_and_Technology,J,4,6,81707,81723,3.890144444444444
10347b8aa076b95589970ca0401ef6ce,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A10/J/01.mp4,Car_and_Technology,J,4,0,13645,13664,4.733333333333333
e910466c920ee887ebbdfd842e589851,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A08/N/01.mp4,Car_and_Technology,N,0,4,109853,109898,11.355455555555556
daf4ac5a7d1207314bdbc5bf8b48cf29,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A04/J/01.mp4,Car_and_Technology,J,4,4,1741,1801,14.929977777777777
fbdf0590147c90bc3affb5c35b7d9464,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A06/J/01.mp4,Car_and_Technology,J,4,6,68668,68677,2.3333333333333335
2329a5a7bc234bcd1765507f273dc059,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A06/D/01.mp4,Car_and_Technology,D,2,4,44359,44370,2.764988888888889
36e31cebf84006583c6c06f6849fb11b,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A07/N/01.mp4,Car_and_Technology,N,0,4,60195,60247,12.982133333333334
5a6fb83112c8207116451243a78466a2,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A03/N/01.mp4,Car_and_Technology,N,0,6,65963,66001,9.5633
2d4cfdb908f2b2af28e2933aac3478ac,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/25/A01/N/01.mp4,Car_and_Technology,N,0,4,33007,33033,6.3904555555555556
2f0f651cc4c4b4fa0b343d74986aa77d,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A07/J/01.mp4,Car_and_Technology,J,4,6,98274,98300,6.548733333333334
359300cdf4c5dbd712fad941ab2440f2,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A08/SU/01.mp4,Car_and_Technology,SU,6,6,118704,118737,8.37218888888889
bfcfb921fb112ac2df8759cbd787e3c0,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A09/J/01.mp4,Car_and_Technology,J,4,4,79955,79971,3.901988888888889
c2a13920633e0b4f247fd7982eb52555,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A02/J/01.mp4,Car_and_Technology,J,4,0,18577,18594,4.132188888888889
b4fc134da86e956a8f6126e90b42731d,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A03/N/01.mp4,Car_and_Technology,N,0,6,59973,60000,6.740066666666666
70a4ae3fca2f3949e6e8b4676ae71db5,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A10/SU/01.mp4,Car_and_Technology,SU,6,6,89883,89900,4.163322222222222
e33bea707c8acd49347356477b8d17d6,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A04/F/01.mp4,Car_and_Technology,F,3,6,5069,5086,4.263677777777778
7d0ee8e504b92c2fbd67feda0920a6db,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A05/J/01.mp4,Car_and_Technology,J,4,4,66872,66930,14.533866666666666
410a0d747b9310f373de7da94fbca99f,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A01/N/01.mp4,Car_and_Technology,N,0,4,143968,143990,5.4287777777777775
da903848a9cf525ee9cda2e0d79f4f65,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/21/A06/J/01.mp4,Car_and_Technology,J,4,1,31353,31382,7.202066666666667
2540d4b04c6fed228233ea3033d6babd,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/22/A07/SU/01.mp4,Car_and_Technology,SU,6,4,11300,11319,4.8652444444444445
b45988b74a24c039d82becba6310e6f8,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/22/A02/J/02.mp4,Car_and_Technology,J,4,4,119147,119168,5.164988888888889
578a1e292b98e6effceaab7fd10fc39f,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/22/A02/J/01.mp4,Car_and_Technology,J,4,6,93489,93502,3.140233333333333
e25b7b542cf01f2100ef192fd431b3ac,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/22/A09/J/01.mp4,Car_and_Technology,J,4,6,57342,57366,5.963311111111111
79417011672a0d5f988e7405f2ec2932,/content/drive/MyDrive/NeuroBioSense_Dataset/NeuroBioSense/Advertisement Categories/Car_and_Technology/22/A09/SU/01.mp4,Car_and_Technology,SU,6,6,84212,84239,6.768311111111111
